D3DSZ1	O43236
Q9BXW9	Q6IN79
Q71U36	O14512
P55345	Q96MA1
P06400	D3DWS0
D3DVV8	Q5TZN6
Q9NR82	Q9NRI5
A8K0V9	Q96EZ8
P14174	P14174
D3DVV8	P12259
Q9BRD5	P42345
O15533	D3DQX0
D3DQX9	D3DTX4
Q99665	O60674
D3DV37	Q14690
B3KY40	B1AJQ7
O95866	Q53XS4
Q6IBK0	Q05469
O43915	Q8N6H6
Q12866	Q07912
P06400	Q6FI00
P13798	Q0P6H9
Q9BQA1	P62314
Q09013	B2RAH5
Q06190	Q5T6C5
Q9Y6Q6	Q13114
Q9Y4K4	B0LPF3
O95084	Q6KC79
Q99959	P05783
Q8N187	D3DRK2
P10827	Q5STP9
O95206	O95206
Q496J9	Q99999
P07305	Q8NC60
B2RNB2	D3DXB9
A1YLA1	Q3LRW3
Q99466	Q53XR6
O14832	Q6FGN1
D3DUJ5	O60942
P08700	P42336
Q96S59	A1L467
Q6PII6	Q9NUA2
B2R749	D3DWG3
Q9NPD3	A8K5D4
Q96EB6	Q9UBP5
Q03395	P23942
Q16625	D3DUH1
B1AQ17	Q59FP9
O96017	Q9BSD8
D3DU69	P19544
Q6UWZ7	Q6IN79
Q96ST3	D3DP38
P61513	Q5T3J3
D3DTC0	Q9NZF1
Q8WTY5	B0UXA9
D3DW02	P26358
D3DTC0	Q96LM6
Q9UKY1	Q6FIE9
P21246	Q9H5J8
P50613	P51946
D3DPT4	O15392
P61201	P55789
Q96FF1	O43251
Q969V6	Q6N065
P40926	P00505
Q15648	Q5T5H7
B3KPB9	P60228
Q99759	Q16543
O43524	Q53XR6
Q9Y371	Q13443
Q9HBX9	P04808
O75899	Q9UBS5
Q7Z7C8	P21675
P14373	P14373
Q9H8T0	Q12789
Q5T5H7	P19838
P55854	B4E127
O75665	Q9Y383
Q99466	Q13485
Q9BQA1	P62304
O75334	O75334
Q6ZNK6	Q96CG3
Q9UNE7	Q53XR6
Q96C06	O43353
D3DNQ0	Q96RK0
Q14134	D3DR72
Q9Y6Q9	Q9NUA2
Q9HC62	P55854
D3DSW6	Q5SXM2
Q5JR98	A8K5N0
Q5SQS3	Q9NPY3
P49815	Q53XR6
P29965	P29965
Q969S3	Q969S3
Q5DR82	D3DU69
Q8IZU9	Q9NP85
P78428	P37840
O15488	P13807
B2RAR6	Q9H1I8
D3DX67	P30086
O43187	D3DR16
A5D6Y3	P49959
D3DUH1	D3DUH1
P16471	P43403
Q14232	P07550
P23409	Q53T66
Q4J6C1	Q7LBY6
P10827	B4E127
D3DQJ6	D3DU00
Q9NWT6	D0VY79
O60934	P13010
P35568	P11274
D3DNC4	B0UXA9
D3DVV8	P25788
O00267	Q9NZ63
Q4LE28	Q14025
Q13526	Q93062
D3DQ97	O60907
Q8N8S7	Q8WZ75
Q7Z7C8	Q12962
Q4LE28	P11473
Q13596	P48357
D3DTC0	Q9BXL6
P62829	Q9P287
Q13009	P05129
D3DRL2	D3DRL2
A7E2E1	P04150
Q15013	D3DTC0
C9JL99	P56282
O75822	Q14152
D3DU69	Q8NDC0
Q99689	Q96PY6
P51843	P35398
P54259	P98175
P46060	A8K3Z8
P51398	P51398
O95251	Q9Y2I6
O43172	Q6IBB3
Q6AI31	Q6AI31
O14514	Q96QZ7
Q99856	Q3LRW3
P52945	Q2TB39
Q6MZM7	P08572
Q3LRW3	P50453
O14924	Q59FJ3
Q20BG9	Q14247
Q59F04	P19174
Q8NG27	Q9Y5V3
O00231	Q9UKY1
Q6IBA9	Q6IBA9
Q8N4C8	Q92845
Q14790	Q658U1
P08047	P42858
P54259	Q9BQY4
Q9H3C7	Q86UU5
Q6FHV6	Q9UMP7
Q8TDQ1	Q53XS4
Q8IYN9	Q59F04
A4D1K0	Q9P2H0
A4D2J4	Q8WZ19
Q9BX66	Q8IYN9
Q6PK82	P51809
P23528	Q53HE2
P05129	P35568
Q59H48	B0LPF3
Q99972	Q16775
P21675	P09429
D3DVV8	Q6IBR8
Q14134	A6NLR5
P60900	P53350
B3KWI2	P53350
Q6FIE9	Q86U70
O43593	P09429
P24394	Q6IBL8
Q9BX66	P06213
Q14D22	Q8WUM4
Q9HA47	Q9HA47
D3DR16	Q99759
A8K882	Q9GZR7
D2IYK3	Q01844
Q9BUZ4	D3DU69
C9JL99	Q99832
P25786	P25788
Q15788	Q4LE28
Q9HCS7	Q13216
Q4LE30	Q6IQ28
P07686	P41214
Q96CW1	P11279
B3KXA2	Q15654
Q9NR28	Q9NR28
Q13158	Q9GZR7
Q05655	P30411
P33991	P33991
Q6ZNZ0	D3DTX4
Q6IAV3	D3DRS0
Q6NVY8	P14543
D3DVV8	Q6IN79
Q5EG05	O43353
P21580	Q8IUC6
O43541	O43318
Q9Y6Q6	Q658U1
Q6IA69	Q6IA69
Q76KU4	P19447
Q2L6F8	Q53Y06
Q7Z5C1	Q5JY77
Q8WUM5	Q13137
Q99590	P49768
Q53YD7	Q96D98
D3DR16	D3DR16
Q8TEB7	Q8TEB7
Q13485	Q9HAV4
P98174	Q14247
Q9H081	A8K031
A2RUM7	A2RUM7
D3DN84	Q5T3J3
O75534	Q16549
O60763	A4D2J0
P04632	B4DTJ0
Q9BTY7	O95445
P10909	P02748
D2JYI1	A0ZT98
Q8NHS7	Q9BVJ6
P04179	Q9UGY1
Q08945	P11831
Q96FF1	O43809
Q86U55	Q9HB96
P36544	D3DSD3
P08246	Q99062
O75496	Q14566
Q9UKV5	Q96IF9
B1PS44	A5X2V1
Q92466	Q9BSD8
D3DUA6	Q658U1
Q86U55	Q6IN79
Q9Y3C7	Q4VC03
Q9UBL9	Q9UBL9
Q99576	P19838
Q9Y3B2	Q12769
O43353	Q14790
Q9H0I2	Q9Y3Q8
Q9H270	Q9P253
P27169	P02768
Q6ICU9	Q9BVJ6
D3DVV8	P17936
Q92973	P35658
Q9BQY4	D3DTN3
P51946	P33993
Q96G27	P46937
P00709	Q53X53
D0PNI2	Q07507
P11362	D3DV91
P35612	D3DVR3
Q9Y5B9	D3DSV2
B3KN79	Q9UIS9
P78347	Q53XR6
D0VY79	Q15788
Q9NUA2	Q00987
A8K3E0	Q4LE28
Q9Y5V3	D3DTF2
A8K107	Q8IVD8
Q5QNS2	P28068
D3DUR1	O60674
P08138	B0LPF3
P02647	P55058
Q9BVJ6	B4DG66
O14832	Q14286
Q9NPC6	O75112
Q02878	P47914
Q6IBV1	P17152
Q8TD43	Q8TD43
O00214	D3DTX4
P04424	P47897
Q9BY67	Q9Y2J2
D3DV04	D3DW02
Q6P468	P26232
Q8WXF3	Q9HBX9
Q15506	O75969
P49715	P35251
Q6ICP4	P31150
Q99497	Q9UER7
P04629	A8K3M3
Q8IY31	Q9NWB7
Q8WX92	Q6IN79
P04275	P27797
P31321	Q13485
P01137	Q5T9B9
Q8WUF5	Q8WUF5
Q96IP4	Q96KS0
P13591	P13591
Q99689	Q8IX03
P41180	Q9NV58
A4D0W0	P83731
Q9NPE6	Q9NPE6
Q2TNI1	P08138
O96008	Q75MR5
B3KT07	Q9BX70
Q5JY77	Q3KQU3
O00168	A3KLL5
D3DU75	Q9NYQ7
Q9H5V8	Q05655
P19447	P18074
P55210	P15924
A4D125	A4D125
Q7L5N1	B3KM48
P43364	P14373
Q8IYF3	Q9Y3Q8
D3DU69	P37088
Q9NUA2	Q6FI00
O95409	Q59FV5
P49448	P49448
O94985	O94985
P07602	O96006
Q9P2R6	Q15654
P36406	P55040
O15457	O15457
P41273	A8K107
Q9NVC6	A0JLT2
Q8NCQ8	O00168
Q53FC3	Q5JPT6
P45973	Q14739
P02775	P08311
P08575	D3DTV1
D3DRK2	Q9BSD8
P42081	P42081
Q96FF1	Q86U70
P43403	Q59H48
O15259	O75161
Q5JY77	Q7Z534
P37231	P37231
Q15427	P49842
Q9P2A4	D3DP42
P41970	Q2TB39
Q5T0N5	O00401
P62316	P62314
Q96PQ1	Q8NFW8
Q9UKT4	Q59FE7
Q05DF2	Q15459
O60383	Q9BRR6
Q6I9V2	P19823
Q5T0G8	Q9H553
O60674	Q9UGK3
O60925	O95619
P42858	P20936
P32239	P32239
D3DRS4	P42858
Q9Y230	Q8TAR1
O14949	Q6EEV4
Q5RKV6	P26651
Q6PI77	Q9BVS9
O95751	Q9BVJ6
D3DWA3	P51610
Q8NF45	Q05C41
Q8WWM7	P19235
D3DTG1	Q13309
Q15910	P52788
D3DVV8	Q08945
Q99697	Q99697
Q53HE2	Q53HE2
Q86TW5	Q6FGR6
Q15910	Q14181
Q4ACX1	Q6FHD6
P46013	P45973
O43765	P42166
Q12866	D3DT23
Q96FF1	Q9NX95
Q96G78	Q7L2H7
P35568	P35568
Q05655	D3DVR3
O75528	Q9H098
D3DRY4	Q9UKP3
Q9NQL2	Q76FK4
Q9NPJ6	B3KNI7
P04839	P46940
D3DST0	P23458
Q9GZM5	Q9BSR8
B3KT21	D3DV04
P19174	Q8WV28
P46013	P46013
Q7Z7C8	D3DWA3
Q2TNI1	P35228
Q8TCR7	Q8TCR7
O75208	Q9HCE9
Q99689	D3DVI4
A1Z5I9	O60934
D3DTB7	O15446
O43353	D3DUR1
Q9UQ07	P14635
B1AHC8	Q9H910
Q13315	Q3LRW3
Q7Z7C8	P49848
D3DTN3	Q9ULV1
P56537	D3DWI4
Q9Y5K6	Q13563
Q86YI5	D3DPD8
Q3KN84	Q96KN7
P46977	Q9NQX7
Q6IB90	Q6IB90
Q9UH73	Q9UH73
D0VY79	Q5TZP7
Q96QG7	Q96QG7
D3DVV8	P01106
C9JL99	Q05CZ3
P24394	P42226
Q96BD8	B3KY40
Q9HAP2	Q9UH92
P08865	Q6FGH5
D3DWS0	D3DWS0
D3DTZ0	P31323
O14965	Q6MZW8
Q92851	Q658U1
P40189	B4DVM1
O96006	Q53RZ9
A8K107	Q2L6J1
Q96JH8	Q9H1I8
B3KT07	Q8N254
O75376	P18615
A8K3Z8	Q53XR6
C9JL99	P41212
D3DXD6	P06400
B4DIA5	P09429
Q8TAR1	Q8TAR1
Q05CI3	P10909
Q969L4	Q53XR2
P10747	O00459
P14416	Q9ULU8
Q96KG7	A7KAX9
Q10586	Q10587
Q9H5Q4	Q00059
Q6NVW5	Q8IV17
D1CS53	Q5VUF1
Q99650	O60674
Q8IUX2	B0LPF3
Q6I9V2	Q99832
D3DRK2	Q96JP5
D3DN49	Q86TW5
Q9H6Q3	P43403
Q6MZM7	P14780
Q9H0N5	Q9H0N5
Q8IUH5	Q6AI31
O14908	P22888
P11831	P55212
Q6NVW5	Q53TN1
P61769	P27797
Q99689	Q14596
Q6P2C8	Q96HR3
Q6IB64	P21127
Q9Y4Y9	P62306
A8K107	Q9H8Y8
A8KA82	Q8IW76
Q9P084	P24394
Q99750	Q9NRN7
Q4JHT5	P35568
Q8N357	Q969U7
Q6FI39	P19235
A8K4G2	P40763
P53350	Q96SJ9
Q96RK1	Q92481
Q7Z763	Q9H9Q4
D3DTG1	Q9Y3I1
Q6ZYL4	P50613
Q05516	Q6FGG1
Q8N488	Q99496
P02652	P02652
P36894	P36894
P55199	Q3LRW3
P27701	P08962
P98177	Q5T5H7
Q9H0H5	Q9H0H5
Q96EZ8	Q9Y3C0
Q8WUM4	Q53FC3
O00268	P08047
Q6AWA7	Q07011
Q8TDY2	Q8IYN9
Q13901	P78527
Q15038	Q8WV99
P28223	O60674
Q9UIF7	Q6UWE0
O00559	D3DV56
Q9Y3C5	Q9UM54
D3DPC0	A8K031
Q96B26	Q9Y613
P01258	P01258
P52756	Q5T3J3
Q9BZW8	P09326
D3DTM2	P52948
P43403	Q9UJU6
Q96QZ7	P20936
O43765	O60844
Q9UG98	Q15831
Q9GZS1	Q96HT3
Q99704	P20936
Q96G27	Q5YLC1
Q38G75	Q38G75
P62888	D3DX67
O75665	Q9P2H0
P16157	P16070
Q13901	B1APC6
D3DU69	Q13485
Q8TCX5	D3DN99
D3DR16	Q7Z434
O95886	D3DXB9
P42345	D3DX13
Q01844	Q9NRG1
B3KMX1	P62995
P55089	A4D0Y8
P61073	O60674
D3DRK2	D3DVE7
Q59FH2	Q59FH2
Q13309	P49918
Q15149	D3DWS0
P51587	Q3LRW3
P12980	Q2TB39
Q14114	P02649
P51948	P14859
D3DN99	D3DN99
Q4LE28	Q9NUA2
Q13627	Q13627
Q549M8	Q5BKU3
Q99689	P21246
Q9UER7	Q9H422
O94953	Q9BTT4
Q8WVM8	Q13190
O14745	P07550
Q86UR1	Q8NFA2
Q6ICS7	Q9GZR7
Q06190	P09429
P07093	P00734
Q5JY77	D3DST2
Q8IW76	Q3LRW3
Q9BTB0	P40763
O60232	Q53TS8
Q8WXF8	Q14790
O60674	Q53YY0
D3DSF9	Q99759
Q9H9D4	Q9NY93
Q06481	P42336
B4E3T6	B4E3T6
Q7L804	Q53PC4
Q86WC4	O76081
P06213	P06213
O00267	D3DTZ4
Q7L4N0	Q9BYC9
D3DXD6	D2IYS0
Q9UER7	Q59FP9
Q969G3	P04150
O60674	Q99062
P00734	P05121
Q9BRG1	Q86VN1
P13686	O14737
P05161	Q53Y90
O43504	Q9H063
Q9Y3P8	P43403
D3DQ34	Q13309
D2JYI1	D2JYI1
D3DUQ1	P04150
Q96PE2	Q96PE2
Q15149	P02549
Q53YK7	B0LPF3
Q99750	O95336
D3DNF0	Q02156
P15927	Q5T3J3
Q96JH8	A0JLT2
Q53YD7	P55316
Q15788	P10827
Q86TW5	Q9H1D9
Q13485	Q6FHM9
O77932	Q9BTI6
Q8WV99	Q8WV99
O75665	Q5JY77
Q9UER7	P26358
Q6PFW2	Q504X9
Q8N254	Q9BRL8
Q5T6X2	P13984
Q7Z474	P60900
Q8IWT3	P68036
Q96GE4	P62310
P00750	Q7Z5W6
Q96LC7	Q53XS4
B0UXA9	Q9Y5B0
P43026	Q13873
O75943	Q07864
Q9NX08	Q9NRX3
A0JLU0	P17480
D3DPS1	Q8N6Y0
O00203	O60566
Q05516	Q5T5H7
A4D196	D3DR16
Q9UGU0	P78317
P15927	Q9BUF0
Q9NTF0	Q9NTF0
Q9Y2J2	P54105
P20264	P35716
Q15831	Q3LRW3
Q96PY6	D3DTE2
Q08378	Q08378
P45973	A7E2E1
P08697	Q59GZ8
D2IYK3	Q9NUA2
O60763	Q92538
Q8N2S1	P01137
P07858	P03973
Q96QT4	Q59F77
Q6FI14	D3DTH5
Q13485	Q9UNE7
Q6ZSZ9	Q8IYN9
D3DNF7	P55210
Q9NWT6	A6NLR5
Q15788	Q6FI00
Q13387	Q13387
Q56A79	P06400
Q9BSW7	Q5T782
B6ECG9	D3DQL6
O14745	Q59F04
Q15038	O95405
P10827	Q59FP9
P12272	Q03431
D3DR76	D3DW02
D3DUG8	Q92851
D3DVV8	Q92598
Q96FF1	O60828
P07093	P08572
O43318	Q99683
Q96IJ6	Q96IJ6
Q75MR5	Q549C5
Q12947	Q00403
P01042	P08311
O95199	B3KM48
Q6IA86	P23458
Q53X86	P60484
D3DUR1	P23458
P30047	P30793
Q96KN7	O75161
D0EYG5	B4DWS4
P43034	Q8IUX2
D3DRP8	P02686
O75506	Q9Y3C0
Q13309	P24864
D3DVV8	D3DXD6
Q15185	P04150
Q6MZZ3	P55210
Q58WW2	P04150
Q5VWC9	Q5VWC9
B0LPF3	Q9P084
D3DSF0	P40763
Q5JVE7	P12259
Q9H3M0	Q8TDN2
Q8N8S7	Q96AF9
Q96D98	Q96D98
O43929	P33993
O95429	P41238
Q13145	O94993
C9JL99	P47712
P12544	P12544
Q7Z5C1	P02649
D3DPP3	D3DPP3
Q9UBP5	Q9UBP5
B3KSM5	Q02962
O43765	P10912
P37198	P52948
Q9UNY4	D3DQC3
P26367	P41225
Q13011	P50453
Q86V24	A8K660
C9JL99	Q6ICU9
Q6ZRS2	A6NN38
Q14247	Q9H8Y5
O60216	B1AMT5
Q6PD56	Q59GV3
Q9Y692	Q9Y692
P11831	Q14790
Q6PJD5	Q9Y566
Q8N448	P49757
Q92843	O00198
Q13867	Q8WVZ9
C9JL99	P17600
B4E3T6	Q9UKN7
Q9UBQ5	O75821
Q9Y221	Q76FK4
Q6FI14	P10747
D3DSH6	O75376
Q86SG6	Q86SG6
P25490	P01106
Q6FI39	P40189
Q9Y5N6	Q99741
B4E3T6	Q13155
Q06481	Q06481
C9JL99	Q7L5D6
Q9Y421	Q53FE8
Q96E35	Q99705
D3DUR1	Q5STV3
P11362	Q4LE28
Q96D31	Q9Y210
P25963	Q12923
Q9HCL0	O75553
P49848	P21675
Q3LRW3	P04150
Q6PHZ7	A8K6K3
P50222	P01282
Q6IN79	Q8NCQ8
P11362	O00459
O75449	Q9BVA0
P78527	Q00613
P23511	D3DTT3
O75665	Q9H7U1
D3DWG3	Q96F31
Q8WYP3	P51148
Q13009	P16157
Q15124	Q8N754
P19174	Q9BTB0
P53350	P49736
O43294	Q9NUA2
Q8NA61	Q8NA61
Q01844	P78310
Q99683	P30304
P63162	P22087
P05121	P08246
D3DWJ2	P20963
P62318	P62308
Q8NEV9	Q6UWB1
O75899	O75899
Q460N3	Q460N3
Q3SWU9	Q9UIF7
Q9P2V4	Q9P2V4
Q9Y282	Q969X5
P25963	Q8N516
P78317	O15499
D3DQB7	Q9Y3Q8
Q13087	P27797
P38432	Q96JN2
P58304	P26367
Q8N8S7	Q9NQX3
O43294	D2JYI1
O75909	Q8TAP6
P38432	Q9H2G4
Q12788	Q9BTM9
Q7Z3U5	P07814
Q13976	P78347
Q13190	Q7L5N1
Q01101	D3DX47
Q9Y3C5	A4F1W8
B3KWD0	Q6I9V6
Q7Z6A9	Q53XS4
Q6ZVK8	Q96CG3
Q14686	Q4LE28
O15457	P27694
D3DX67	A8K107
Q5T5H7	Q6I9R7
Q2L6J1	Q2L6J1
A4D0P7	B1AHB0
O43752	Q9H270
D3DT31	Q6FI05
Q68CP9	P78396
Q8TDD1	Q5T5H7
Q13315	P13010
Q9P2A4	Q6ZU52
A8K3E0	Q5YLC1
Q64GB1	Q64GB1
P36957	D3DNI4
Q8IUA4	P78357
Q5RKV6	Q96B26
Q9BUN8	P08582
P10827	Q12802
Q9BXW9	Q00597
B1ALU8	P10827
Q9UKL3	P25445
Q13158	Q14790
P47224	O43504
P11684	Q6MZM7
B2RNB2	C1K3N5
Q8IX03	Q5T3J3
Q9UKF7	Q6RW13
P26992	Q92624
A8K9G7	Q96AF9
D3DRI9	P51610
P05783	P55212
Q96CJ7	Q96CJ7
Q8NFZ0	D3DWG3
D3DST0	D3DST0
Q01844	Q9NQA5
Q08945	Q99417
Q2TNI1	P35243
P06213	D3DPP3
P35658	Q13485
Q16637	Q96PV6
Q9UQL6	Q9UQL6
Q9Y6K1	P01106
Q53FE8	Q13190
Q6IB90	Q96NY6
Q9Y3C5	Q8IYW5
Q96IP4	D3DRE4
Q9H633	D3DRT8
B2R7W3	P06401
Q9H773	Q9H773
P11362	O95197
B1AHB0	P33993
Q15334	Q96AP0
D3DPT5	Q71RF1
Q16186	Q99460
Q9NWF9	Q9NWF9
P53350	Q9Y266
Q9Y620	Q9Y620
Q5T5H7	D3DU69
Q53XS4	P20963
P51787	C7S316
O43504	Q5T3J3
A2RUM7	Q00987
P19838	Q7LBY6
Q9BXP8	B3KNI7
P23409	P41134
Q8WUM5	P62316
B3KM48	Q92905
B4DUA7	Q96K76
D3DTH5	Q6I9V6
Q86YW7	Q96T91
Q02556	P17947
A4D2F2	D3DW02
P16144	A1L467
O60285	Q9H0K1
Q5GJ64	Q14134
P49454	P49454
D3DW02	P13051
P54368	P54368
Q9NS56	P11387
A8K881	P15260
Q13526	D3DWF0
D3DXB9	P82930
Q86U55	Q00597
Q549K6	Q549K6
Q99466	Q8IZL2
Q7Z763	P78527
Q8N4X5	P20936
D3DP38	P42858
Q15788	P55345
Q4G0X8	Q05C41
D3DPY8	Q9UK53
Q9NZR2	D3DSD3
P11717	P11717
B3KRJ9	Q86VG2
Q3LRW3	P19447
D3DPS2	Q9UL33
O60232	P51946
Q9HB96	Q9BXW9
A8K031	Q13257
P21246	Q9HC16
Q63HP7	Q96A65
Q96PM5	Q3LRW3
B0LPF3	P43403
Q5VVH5	Q96C06
Q02818	P35354
Q86SG3	Q86YF9
Q53ZZ1	B0LPF3
P52948	P52948
Q96S59	A8K3Z8
Q99750	Q9H7H0
Q8IYS3	P51610
Q9UGU0	Q9UGU0
O75052	P17600
O14654	B0LPF3
Q96HD1	Q53YD7
Q96FF1	Q96T58
Q15185	Q8IW76
Q4LE28	Q8N680
Q16531	Q92466
A8K171	P56545
Q9Y3Y4	O00512
P08047	P28749
Q96IA0	Q8NHS7
P35354	P35354
D1CS21	D3DTY1
Q5T765	Q05D60
P01138	Q99523
P14373	Q96QH2
Q7L590	O43929
D3DPJ1	Q13257
Q3LRW3	Q15013
D3DRY4	P15529
D3DP38	O75376
O15297	B3KM80
Q8WUH2	P09917
Q9H081	Q8NG31
O43255	B4DIM4
D3DN92	Q9UEU0
P49247	P49247
Q9H9D4	P50479
D3DQC1	Q8IYD1
P00750	D3DP14
Q9UKJ1	Q53XS4
P02760	P02768
P01042	Q9NPY3
Q08380	P14543
A8K287	P51809
Q01844	Q68CL5
Q6IN79	P14859
O95751	Q96AQ3
O77932	Q8IZH2
A7KAX9	P19174
P49720	P53350
Q9UG98	P40763
D3DSZ1	Q7L5D6
Q9Y5K6	O60500
P84090	Q5RL73
Q96RJ6	Q2TB39
P23458	P23458
D3DUS5	P09382
Q53XX4	P26842
D3DQ85	D3DQ85
Q53XM5	Q8N6K7
P14373	P60228
Q9BS16	P35712
A4D105	A4D105
P26441	P26441
Q9BVJ6	O14737
Q8IXL1	P41134
Q9NYF8	Q9Y2U8
P11831	Q59FP9
B3KRJ9	P62318
D3DSE3	Q6MZU1
Q2HXW2	O95405
Q8TAA9	D3DTN3
Q7RTU8	Q7RTU8
Q9NWF9	Q13546
Q8WWV3	D3DX28
D3DNA3	O00499
Q9Y6H3	B1AHC8
P20936	P10809
Q15542	Q10570
B3KS07	Q5T5H7
Q99819	Q6ICP4
O00268	P52655
Q5TBB8	P21580
Q9HD36	Q07812
A1YLA1	A1YLA1
D3DTF2	O15392
A0PJJ7	P30411
Q59FG5	P14635
P33402	Q02153
Q8IXK0	Q9Y4W6
O43561	A8K4G2
Q53TN1	Q07325
B3KRJ9	D3DVV8
P61289	Q7Z3B3
Q99608	P08138
Q59GT2	Q59GT2
Q08752	O95251
P43364	Q5HYH4
Q13485	P17676
Q9H081	Q53FM2
Q6FHT8	P53621
D3DTC0	O60269
O60763	Q15075
Q9NWA0	Q96K76
O15389	D3DTC0
A6NN38	Q13045
O75553	D3DTH6
Q96IA0	Q13425
O14964	B3KQ49
P42336	Q8IUC6
P55210	Q13490
P23510	A8K107
O43681	O43681
Q59EC0	Q59EC0
P54368	Q96FF1
Q53XS4	P08575
O60333	D3DXB9
Q9UBL6	Q13137
Q6IB90	P07858
D3DR16	A8K4G2
P49716	Q15744
A3KMH1	Q96KG7
Q7LAP4	Q7LAP4
Q9BX67	O00254
Q15916	B3KNI7
P43364	Q9Y375
P49902	Q9Y5B8
Q9UNF0	Q53ZZ1
Q92947	Q92947
P06213	P23458
A8K6M0	D3DUV5
Q9Y3V7	P08572
Q9Y383	Q9P2H0
O14746	P23443
Q9H6P5	Q03164
Q8NHL6	P61769
O14776	P52272
P55058	P02649
Q6FI05	B0UXA9
D3DPJ1	O14965
Q4LE28	A1Z5I9
D3DP77	Q13155
O14745	O43572
O43278	Q04756
P08246	Q53XJ8
P41134	P15172
P47914	Q9NX95
P31269	P25963
Q6ICU9	Q9P2H0
Q04759	Q2YDC4
Q9UN86	P25963
P55103	A4D1W7
Q13485	Q8TEW0
Q9NRI5	Q6IB98
Q7Z474	D3DVV8
P16871	D3DST0
Q14686	P10912
O60716	Q14247
D1MER9	P00734
D3DTN3	O95817
O76076	P11717
Q53Y06	D3DR16
A8K3M3	B0LPF3
Q9NWQ8	Q13094
Q08116	D3DWY5
O94906	P04150
O43707	Q9NPC6
O43818	Q547Q3
D3DNI4	P42858
D3DP38	Q9UK53
Q9UGJ1	A6NLR5
O15371	P55010
P22459	Q6ICU9
D3DPT5	Q15459
Q9H4Z3	P52945
Q6QNY1	Q8TDH9
Q8N516	A6NCI0
Q9UJW3	Q9UHA3
Q8WWM7	P40238
Q93099	Q93099
Q9UQ07	P01106
Q96FF1	P53990
Q6FH20	P30989
P33993	P51948
Q53XR6	Q53XR6
D3DVM9	Q6IQ28
Q0GK43	Q0GK43
D3DQV8	B2RCH4
P38432	Q6ZVK8
Q2TNI1	P51813
Q2TAA8	B1APC6
Q8IW76	Q59F04
O75925	O75925
P48723	Q9UHD9
Q53PC4	P19876
C9JL99	Q9BQD7
Q6IN79	Q16666
P23276	P14138
Q9Y3V7	P14543
Q8NET5	A8K4G2
Q13627	D3DTH5
P04626	P04626
P40763	Q14469
D3DRS0	Q9H0D6
Q7LBY6	D3DUR1
O14908	A8K555
Q6PHZ7	P30086
P54819	B0FWH2
Q9UK45	O15116
Q6P2C8	Q15528
P08311	P17936
O14776	Q13111
D3DTH5	O60269
Q9NPF4	Q9UBM4
Q01844	D3DRQ7
Q5JPT6	Q9Y5K6
Q9P0W5	P35240
D3DPR3	Q93062
A2RRP8	Q4ZG02
Q9UIS9	Q9H422
Q99959	Q99959
Q14151	Q5T5H7
P40763	Q96C06
Q6IBL8	D3DWN2
Q03933	Q00613
D3DN92	Q6IBB5
Q13111	Q13112
P17676	Q53YD1
P55854	Q13618
P01042	P08246
Q14114	P10909
O60383	Q96IZ7
Q96FX2	Q9UGK8
Q13263	P17676
Q13425	Q6LBS5
Q15185	P27540
A6NLR5	P25445
Q6ICS9	A4D2L1
B3KRJ9	D3DPF4
B0FWH2	D3DV56
P15509	O14920
Q07889	D3DXF9
Q8N4Y1	P49407
P01233	Q6I9S8
O15235	Q5T3J3
Q13976	O76074
Q86X95	Q13573
D3DTI7	Q8TAX8
D3DVV8	P13807
Q14457	Q07817
Q5T8A7	O75691
Q6ZNA4	O43541
Q14790	P21127
O95251	Q8NHQ1
P53396	P53396
P49321	Q9Y383
Q16637	Q96HA8
D3DRD0	D3DRD0
P01042	Q03405
Q8TB76	Q02446
Q96FF1	Q9UKJ3
Q99608	Q16254
Q05516	Q8NHQ1
A8K5N0	D2JYI1
Q9H0K1	P35568
D3DR16	Q64GB1
P46063	P27694
P26367	O95343
Q9NWQ8	A8K4G2
A8K031	Q9Y6D9
Q8N516	P42858
B0V3L0	P30273
Q8NBH6	Q8NBH6
B3KRJ9	Q13526
P05155	P00734
Q95HC0	P61769
P13051	P15927
Q9H293	Q9NRM6
Q99726	Q6PK82
Q5SRL2	Q5SRL2
Q92823	Q92823
D3DTP2	P21980
Q9UDY2	P35221
Q92905	P61201
A8K3L0	P08603
Q15542	P21675
Q9NSI6	A7E2E1
Q8WUM5	Q13501
P55210	Q8IW76
Q13546	Q658U1
O95400	P83876
Q12962	P49848
Q6NZX3	Q6MZM7
Q92905	P31151
Q9BXP8	P17936
O43236	O43236
B6ZGU0	Q5STP9
Q13158	Q53ZZ1
Q15466	P55055
Q9Y5N6	Q14566
Q96PK2	Q49A56
Q969P0	P27701
Q13487	Q5SXM2
Q14008	Q14008
Q5TBB8	Q5YLC1
D3DVV8	P11831
B0YIY5	P07766
P54259	Q9BU62
P55036	P15172
P19838	Q6IN79
Q13114	P28908
P63162	Q3LRW3
Q86U05	P08195
Q12840	Q12840
D3DTV1	B0LPF3
Q8NB12	B2R4P8
Q14790	Q6I9V6
Q66K74	P42704
P18433	P18433
Q9UER7	Q6PIR0
P35869	P13984
P25445	O14727
P04150	P04150
D3DN49	Q14258
D3DNA3	A4D1U5
D3DVS4	Q9UKY1
Q9Y6D9	Q9Y6D9
Q01844	Q9NYG2
P15559	Q3LRW3
Q6IN79	P46736
